Word,Category,,,
Access,Urgency,,,
Access now,Urgency,,,
Act,Urgency,,,
Act immediately,Urgency,,,
Act now,Urgency,,,
Act now!,Urgency,,,
Action,Urgency,,,
Action required,Urgency,,,
Apply here,Urgency,,,
Apply now,Urgency,,,
Apply now!,Urgency,,,
Apply online,Urgency,,,
Asap,Urgency,,,
Become a member,Urgency,,,
Before it's too late,Urgency,,,
Being a member,Urgency,,,
Buy,Urgency,,,
Buy direct,Urgency,,,
Buy now,Urgency,,,
Buy today,Urgency,,,
Call,Urgency,,,
Call free,Urgency,,,
Call free/now,Urgency,,,
Call me,Urgency,,,
Call now,Urgency,,,
Call now!,Urgency,,,
Can we have a minute of your time?,Urgency,,,
Cancel now,Urgency,,,
Cancellation required,Urgency,,,
Claim now,Urgency,,,
Click,Urgency,,,
Click below,Urgency,,,
Click here,Urgency,,,
Click me to download,Urgency,,,
Click now,Urgency,,,
Click this link,Urgency,,,
Click to get,Urgency,,,
Click to remove,Urgency,,,
Contact us immediately,Urgency,,,
Deal ending soon,Urgency,,,
Do it now,Urgency,,,
Do it today,Urgency,,,
Don't delete,Urgency,,,
Don't hesitate,Urgency,,,
Don't waste time,Urgency,,,
Don’t delete,Urgency,,,
Exclusive deal,Urgency,,,
Expire,Urgency,,,
Expires today,Urgency,,,
Final call,Urgency,,,
For instant access,Urgency,,,
For Only,Urgency,,,
For you,Urgency,,,
Friday before [holiday],Urgency,,,
Get it away,Urgency,,,
Get it now,Urgency,,,
Get now,Urgency,,,
Get paid,Urgency,,,
Get started,Urgency,,,
Get started now,Urgency,,,
Great offer,Urgency,,,
Hurry up,Urgency,,,
Immediately,Urgency,,,
Info you requested,Urgency,,,
Information you requested,Urgency,,,
Instant,Urgency,,,
Limited time,Urgency,,,
New customers only,Urgency,,,
Now,Urgency,,,
Now only,Urgency,,,
Offer expires,Urgency,,,
Once in lifetime,Urgency,,,
Only,Urgency,,,
Order now,Urgency,,,
Order today,Urgency,,,
Please read,Urgency,,,
Purchase now,Urgency,,,
Sign up free,Urgency,,,
Sign up free today,Urgency,,,
Supplies are limited,Urgency,,,
Take action,Urgency,,,
Take action now,Urgency,,,
This won’t last,Urgency,,,
Time limited,Urgency,,,
Today,Urgency,,,
Top urgent,Urgency,,,
Trial,Urgency,,,
Urgent,Urgency,,,
What are you waiting for?,Urgency,,,
While supplies last,Urgency,,,
You are a winner,Urgency,,,
0 down,Shady,,,
All,Shady,,,
All natural,Shady,,,
All natural,Shady,,,
All new,Shady,,,
All-natural,Shady,,,
All-new,Shady,,,
Allowance,Shady,,,
As seen on,Shady,,,
As seen on Oprah,Shady,,,
At no cost,Shady,,,
Auto email removal,Shady,,,
Avoice bankruptcy,Shady,,,
Avoid,Shady,,,
Beneficial offer,Shady,,,
Beneficiary,Shady,,,
Bill 1618,Shady,,,
Brand new pager,Shady,,,
Bulk email,Shady,,,
Buying judgements,Shady,,,
Buying judgments,Shady,,,
Cable converter,Shady,,,
Calling creditors,Shady,,,
Can you help us?,Shady,,,
Cancel at any time,Shady,,,
Cannot be combined,Shady,,,
Celebrity,Shady,,,
Cell phone cancer scam,Shady,,,
Certified,Shady,,,
Chance,Shady,,,
Cheap,Shady,,,
Cheap meds,Shady,,,
Cialis,Shady,,,
Claims,Shady,,,
Claims not to be selling anything,Shady,,,
Claims to be in accordance with some spam law,Shady,,,
Claims to be legal,Shady,,,
Clearance,Shady,,,
Collect,Shady,,,
Collect child support,Shady,,,
Compare,Shady,,,
Compare now,Shady,,,
Compare online,Shady,,,
Compare rates,Shady,,,
Compete for your business,Shady,,,
Confidentiality,Shady,,,
Congratulations,Shady,,,
Consolidate debt and credit,Shady,,,
Consolidate your debt,Shady,,,
Copy accurately,Shady,,,
Copy DVDs,Shady,,,
COVID,Shady,,,
Cures,Shady,,,
Cures baldness,Shady,,,
Diagnostic,Shady,,,
DIAGNOSTICS,Shady,,,
Diet,Shady,,,
Dig up dirt on friends,Shady,,,
Direct email,Shady,,,
Direct marketing,Shady,,,
Eliminate debt,Shady,,,
Explode your business,Shady,,,
Fast viagra delivery,Shady,,,
Finance,Shady,,,
Financial,Shady,,,
Financial advice,Shady,,,
Financial independence,Shady,,,
Financially independent,Shady,,,
For new customers only,Shady,,,
Foreclosure,Shady,,,
Free,Shady,,,
Free gift,Shady,,,
Free bonus,Shady,,,
Free cell phone,Shady,,,
Free DVD,Shady,,,
Free grant money,Shady,,,
Free information,Shady,,,
Free installation,Shady,,,
Free Instant,Shady,,,
Free iPhone,Shady,,,
Free laptop,Shady,,,
Free leads,Shady,,,
Free Macbook,Shady,,,
Free offer,Shady,,,
Free priority mail,Shady,,,
Free sample,Shady,,,
Free website,Shady,,,
Free!,Shady,,,
Get,Shady,,,
Gift card,Shady,,,
Gift certificate,Shady,,,
Gift included,Shady,,,
Give it away,Shady,,,
Giving away,Shady,,,
Giving it away,Shady,,,
Gold,Shady,,,
Great,Shady,,,
Great deal,Shady,,,
Greetings of the day,Shady,,,
Growth hormone,Shady,,,
Guarantee,Shady,,,
Guaranteed deposit,Shady,,,
Guaranteed income,Shady,,,
Guaranteed payment,Shady,,,
Have you been turned down?,Shady,,,
Hello,Shady,,,
